author,rating,title,content,date,source,app
Ineedhelp111,3,Issues with payout,I’ve been trying to resolve my payout issue for a month now and I’ve gotten nowhere when I contact support it’s like I’m getting automated answers I can’t receive my payouts even though I completed my verification and the sent it to me saying I verified my identity but my payouts are still on hold.,2025-12-16T09:07:13-07:00,Shopify,Shopify
Thank god its ultra,5,Amazing,SHOPIFY IS AWESOME!!! It helped me make a business as a teenager! I am so grateful for Shopify bc I never thought I would get this far!,2025-12-16T04:20:36-07:00,Shopify,Shopify
Nickisan!,4,Great! Until It starts crashing… & no App support…,"UPDATE: I found the issue through trial and error… it was an .svg file causing a crash on load….

- I’ve used Shopify app for years now and I have 3 client accounts logged in… recently one account’s store won’t allow product photos to be uploaded without immediately crashing… I’ve tried it all.. I’ve tried updating IOS, delete other apps for more storage,  deleting and reinstalling the app after restart, logging out and logging back in, and “remove all sessions on next launch”. After my many attempts to fix it myself, I decided to reach out to support to which Megha says “there is no dedicated support team for mobile app” and B proceeds to give me workarounds for desktop… incognito, cache, different browser, etc. - soooo not sure how to resolve this bug!? I had such a good flow and over the last 4 days it’s been nonstop attempts to correct the issue :(",2025-12-14T21:18:40-07:00,Shopify,Shopify
friendsoflyn,1,Worst,This was a nightmare!,2025-12-12T01:12:19-07:00,Shopify,Shopify
joemomma8,1,not as advertised,scam,2025-12-10T18:15:11-07:00,Shopify,Shopify
oroyyelir,1,please give back my money,i canceled my subscription but i guess i signed in to much times and is paying for all those times . please help me get my money back,2025-12-10T03:07:10-07:00,Shopify,Shopify
TJ4life$,1,The app took my money without me knowing and I deleted an app and didn’t have any subscriptions.,.,2025-12-09T21:07:29-07:00,Shopify,Shopify
medlouni,5,Error,The live visitors  view doesnt work on iphone  for 2 months,2025-12-09T05:21:40-07:00,Shopify,Shopify
slopes king,1,mad,i want to start drop shipping at 15 but you have to be 18 it i’d stupid switch it,2025-12-07T08:42:23-07:00,Shopify,Shopify
Pchrman,1,POS and ai great. Function and finding things terrible.,"We used POS yesterday and it worked great. But trying to navigate the entire system, create a website with the “easy to use” template, and the weird functioning of most functions is to be desired.  I’ll have to go to Shopify school to figure out how to use it.",2025-12-07T05:57:57-07:00,Shopify,Shopify
thennonnnn,2,malisima,"muchos errores no deja pegar codigos, va lenta , se queda pegada, literalmente tienes que cambiar a safari cada rato porque la aplicación da un problema distinto, para cambiar personalizar o configurar tu pagina web de celular pesimo, pero si solo quieres ver las ventas esta perfecto",2025-12-06T19:46:32-07:00,Shopify,Shopify
Lucy2814,2,Not compatible with newest iPhone update,I liked the Shopify app but the counter widget doesn’t work with the liquid apps or tinted apps on iPhone. It turns white and doesn’t show anything. That’s really disappointing. That’s really one of the main reasons why I even have the app for the counter widget.,2025-12-06T05:32:19-07:00,Shopify,Shopify
Wesley Brawhn,5,AMAZING,I love u:),2025-12-04T18:17:44-07:00,Shopify,Shopify
Dritchh,1,Inspire me crochet by MB not happy,This system is not a user friendly app. It has layers upon layers of being redirected to get an answer. It isnt bad when you can finaly get you product listed it is administrative  issues that has you going in circles. The lack of a human customer service rep makes it difficult to get things resolved. Right down to cancelling your account. Once cancelled the keep billing the monky fee and taking it off tge credit card you placed on fike with them to start with. I do not recommend shopify for the average person or those who struggle with technically,2025-12-03T13:24:34-07:00,Shopify,Shopify
moonberryy,1,I can’t see any of the product photos,"I can’t see the product photos at all with the latest update!! They just don’t show!! And the app update was mandatory :(
Update: Not only I still do not see any product media (Shopify never fixed the issue) but there is no more option to add or edit the image alt titles !!????",2025-11-29T12:11:50-07:00,Shopify,Shopify
Furtivetech,1,Rip off,"If you are using Shopify, you know nothing about websites and e commerce. They hook you in and rip you off with fees and hidden charges. Explore your options before considering this platform. There are MUCH cheaper solutions out there. You are FORCED to use THEIR servers, and THEIR CREDIT PROCESSING. If you don’t they still charge a fee.",2025-11-29T07:29:25-07:00,Shopify,Shopify
Jdub311,1,Nah,You may not need to be a website developer to use Shopify but you will surely need a stiff drink just to do the simplest tasks to a website. It’s better to use other options.,2025-11-28T19:50:37-07:00,Shopify,Shopify
Staunton089,1,Untrustworthy,They do not let you remove your credit card information from the app and will continuously charge you for things you never purchased.,2025-11-28T18:34:38-07:00,Shopify,Shopify
aiintaxx,5,Hi,It’s good a keeping Shopify,2025-11-28T14:45:29-07:00,Shopify,Shopify
Will P GMS,1,Bad business,Why yall just charge me 39 dollars bro,2025-11-27T01:54:30-07:00,Shopify,Shopify
Bougie Brown Girl,5,LOVE THIS APP!,Love this app no complaints but to fix the widget counter to interact with IOS 26. Counter does not work if apps are in clear or tinted mode.,2025-11-26T15:47:09-07:00,Shopify,Shopify
Smallbusinessowner1,1,TERRIBLE FOR SMALL BUSINESS,"They hide in their terms & conditions that they do not give refunds. Unfortunately, if you use Shopify for your small business. They will enroll you in programs without your consent and then charge you a bunch of fees for the programs to which you did not agree. Then because they’ve hidden a clause in their terms & conditions that says they do not issue refunds, they will keep their money grab from you without apology. Leave this platform to the fast fashion brands using slave labor and polluting the planet for profit and use another platform instead.",2025-11-21T20:52:04-07:00,Shopify,Shopify
Remika P,1,Unintuitive and Difficult to Build a Website,This is terribly difficult to use and build pages. It also doesn’t help that the tutorials and instructions are outdated because the layout of Shopify changes so much.,2025-11-21T17:35:47-07:00,Shopify,Shopify
F&0,2,Trying to close accounts,Shopify will keep taking money out of your account if you try to close the account. Then send you emails to say that they will give you a better deal. Not allowing you to cancel.. you will have to contact your bank to get them to block the payment,2025-11-18T21:28:32-07:00,Shopify,Shopify
