author,rating,title,content,date,source,app
Bart Shrimpson,1,Everything is blank,"Everything is blank, I can’t customize my shop or even cancel my subscription. This app is not good",2025-08-20T23:04:16-07:00,Shopify,Shopify
kyl56,1,Stupid,You want to find sale to start paying my bills or you going to ask how much it costing you - everything,2025-08-20T20:31:29-07:00,Shopify,Shopify
mattsi19,1,New updated app is terrible,Literally can’t even load any of the stores and always is having a technical difficulty when signing in “something went wrong” message every single time. After multiple reinstalls. Completely useless,2025-08-20T20:03:09-07:00,Shopify,Shopify
@anonymou$,1,Unauthorized purchases,"I removed my payment for everything on my account and I still got charged $40 for a website I created and I closed it down a while back, I asked to get the charge disputed and they’re denying my request. Poor customer service.",2025-08-20T05:31:43-07:00,Shopify,Shopify
Psychobillycadillac77,1,I hate shopify,I downloaded this app so I can leave a bad review for this joke of a company. Unfortunately I must have created an account somewhere at sometime. Every time I purchase something online it pops open and I always ignore it and choose a different method. The only 2 times I used it there were problems. Also got double charged for whatever reason. Just horrible experience with these guys. The worst part is I have no idea to login to delete account so I don’t get the Shopify popping up whenever I order something online.,2025-08-19T18:05:40-07:00,Shopify,Shopify
Joey L123,2,Not trustworthy,"Honestly my experience with Shopify has been pretty bad, it is painfully annoying to start up a website on there site, and I had my account randomly terminated by them for no reason, it took a week to contact a support representative. Eventually I decided to stop using Shopify, and then they make the most complicated billing process possible. I truly believe it is an app with minimal effort designed to get you with their billing plans.",2025-08-19T06:45:48-07:00,Shopify,Shopify
Jmelton76,1,"Bugs, Bugs, and more BUGS!!!","Can’t go 24 hours without some sort of permission bug, app blackout, or bot traffic spiff! Barely worth the $1 per month special price let alone their normal monthly subscription",2025-08-17T18:45:02-07:00,Shopify,Shopify
hinigc,1,Tech issue,"App Captcha doesn't work so I can't sign in at all. Even thru the other avenues:Gmail, icloud ect.  
The tech support linked in this App Store page doesn't work either !",2025-08-17T11:29:46-07:00,Shopify,Shopify
Malllllllllisimooooo,1,Mi dinero a donde va,Ahí sale que me hicieron una compra pero a donde va el dinero ?,2025-08-16T12:03:28-07:00,Shopify,Shopify
Cpt Terror,3,Needs an update,New update doesn’t automatically update sales numbers. Please fix.,2025-08-15T03:04:27-07:00,Shopify,Shopify
Mister Houdini,3,Do better,"I only use the app for the analytics. Seems every updates either breaks or fixes the analytics pages. With the latest update pulling down to refresh the data doesn’t actually refresh the data. You have to change the date range then change it back. 
This is the most basic thing to get right.",2025-08-14T15:51:01-07:00,Shopify,Shopify
jbarlowtxcreations,4,Latest Update,With the latest update I can no longer create an order and send it as an invoice to be paid. It will allow you to create a draft and then collect payment but not send it to be paid. This is really frustrating for me since most of my business is custom made apparel.,2025-08-14T15:26:20-07:00,Shopify,Shopify
Davvv16,3,App scrolling,"While on the app scrolling for information, if you click on an order and return back if you scrolled a few orders down it resets you to first order pressed.   Box glitch that makes me lose time scrolling",2025-08-13T19:21:48-07:00,Shopify,Shopify
ykthebisness,1,scam,took my money,2025-08-13T01:48:03-07:00,Shopify,Shopify
DCottrell7,1,Worst app ever.,"Zero customer service, horrible glitches, and no contact information for Shopify",2025-08-11T15:41:17-07:00,Shopify,Shopify
Trendz and Gemz,1,Shopify is going downhill big time,"Over 3 years with shopify 2 stores… one is a multimillion dollar a year store so it’s not like we don’t know what we are doing. These last couple updates are an absolute mess and making us dream of another company to go with. The map is worse than ever for looking at live view. (I could handle living without this feature tho, it’s not a deal breaker)  The scanners that we loved on mobile are pretty much now useless and this is not just an iOS thing because it doesn’t work on our android devices either. Well I should say it works when it feels like it. This update 6 days ago is by far the worst update ever. It’s beyond frustrating that shopify launches this disaster and we are basically just testers I guess. It must be a “put it out there and hope for the best” mentality. How in the world did they not test this update to see if it works BEFORE making us all update. Have you ever heard of beta testers shopify?!? I’m not interested in being one of them when we pay thousands a month to run our store with you. Now when you type in an item number you have to type one letter and wait, then another letter and wait. If you type at normal speed (heck even slow speed) it’s like the sku can not at all recognize what your typing and back tracks deleting anything you have typed . Then once you get past that nonsense you have to click save over and over. Doesn’t anyone try to simplify an store owners clicks??? Less clicks means time savings and when your running a warehouse time savings is SUPER important.  You now need to click the save button just to go to the sku. When inputting products it’s taking at least 4-5 times longer. What used to take me 1-2 mins per listing is now taking 7-10 mins per list at least. We get in thousands of skus so THIS extra time is a mess for us. Not to mention beyond frustrating trying to teach our staff the “bugs”  There truly isn’t enough space here to write all the bugs and I wouldn’t use the App Store as a way to complain to shopify if I could get a human who cared. When you do get through to customer support they find every reason possible that it’s OUR fault. They tell you they will elevate it to higher up tech support. I literally laugh now every time they send me that sentence in chat.  That new search bar you implemented…. Who’s crazy idea was this? Why in the world would any store owner want to randomly search orders OUT OF ORDER?!?! If I want to search products I don’t want to see orders with those products and vice versa. I gotta wonder who in the world comes up with these lovely ideas and obviously they aren’t themselves running any type of business. Why not reach out to owners to ask them what they would like to see. You certainly have no problem reaching out to us once a week to try to “sell” aka harass us about your special financing you’re trying to sell us.",2025-08-11T03:54:17-07:00,Shopify,Shopify
D7i,1,Worst app and worst customer service,Stay away from Shopify You can do better than Shopify,2025-08-10T07:40:50-07:00,Shopify,Shopify
Oneandonlyonlyone,1,Having Problem with app,"This is my first time signing up. It has too my payment 3 times. And yet has gone thru. It won’t let me finishing anything. 
The page on the internet is frozen. And won’t load fully. And just not working out for me. So I am going to delete this app. 
No thank this is not for me or my time . Thank u",2025-08-08T15:52:42-07:00,Shopify,Shopify
Puddles 19,5,Let’s go,Love the app has helped me make millions,2025-08-07T10:51:47-07:00,Shopify,Shopify
JORDANLADINES,5,shopify,shopify was really great! easy to set up and doesn’t cost much to start up your store!,2025-08-05T14:02:51-07:00,Shopify,Shopify
Root of Evil Apparel,5,Shopify,Helped me create my first business and started making money.,2025-08-05T06:44:30-07:00,Shopify,Shopify
Rugplug,1,DONT SUBSCRIBE!!!,This is a scam !!! They charge you $128 for a sorry website !!! Don’t give you your money back and take your hard earned money !! If I can give them a negative I would !!!,2025-08-04T09:27:48-07:00,Shopify,Shopify
.noJ,3,Fix it please,Will change it if they stop putting the check mark verification robot scam i cant do nothing to finished the steps i have to do,2025-08-03T10:08:39-07:00,Shopify,Shopify
Jose mirafuentes,1,So trash,This app is so buns it charged my credit card randomly I’m gonna sue y’all I promise you,2025-08-01T17:25:17-07:00,Shopify,Shopify
Fan in L A,3,Updates,"Every single time an update happens some part of Shopify doesn’t work. This time the “finance” button isn’t working. Happens every single time. 
That being said I will still use because it’s the easiest ecommerce site to use",2025-07-30T13:15:53-07:00,Shopify,Shopify
Nickoli Wade,1,NO CUSTOMER SERVICE,Save your time and frustration just use Square or something else,2025-07-30T06:12:44-07:00,Shopify,Shopify
frosty the doeman,5,Store experience,Came over from square space to this platform and it was like night and day. Way more support way more options can do 99% of the website stuff from my mobile,2025-07-25T13:55:30-07:00,Shopify,Shopify
kingofclubs1234,3,Collaborator request page is horribly laid out,"The Shopify app has been fine for the most part, it does what I need it to do. But recently someone sent me a collaborator request and the page to accept was HORRIBLY laid out. The request came through, I clicked it, and from there I could assign a role or view the roles they sent through. To accept, however, I needed to click the three dots in the top right and click accept. Ideally there are two big buttons at the bottom that say “Accept Request” and “Reject Request” not hidden away in some menu",2025-07-25T10:07:29-07:00,Shopify,Shopify
Mrs. Posty,1,Scam,I signed up twice and both times had to cancel pay $29.99 by the second month.,2025-07-23T11:03:32-07:00,Shopify,Shopify
Urboigoku,1,Scam,Yep I was right. Shopify is a scam. I’ve been posting my Shopify link everywhere for weeks now waiting for a sale and they terminated my account for literally No Reason What So Ever. I tried appealing it but how am I going to when it says proof of sale when they haven’t helped me sell any yet. Thanks for being a terrible e commerce platform,2025-07-19T09:14:09-07:00,Shopify,Shopify
hoedomaggins,1,Fine unless you need support,I’ve been locked out of my account for a week now. Since I’m not a “plus” member I can only contact them via email. They take more than 48 hours to respond. They started to work with me on my issue but after verifying my ID they’ve ghosted me and still left me locked out of my account. Hire more support staff if you have to reserve phone calls for the highest paying members.,2025-07-18T06:31:39-07:00,Shopify,Shopify
Lanaatk,5,Perf for business,Get it!! You’ll be successful,2025-07-13T13:55:42-07:00,Shopify,Shopify
Bill13456742,1,The new update is awful,"The new update is horrible. Why is everything on black with white text? It’s extremely tiring to read and everything takes three times longer to do the same thing that you could do in the previous app. Where is now you have to do three clicks to get to the same menu where is before it was just one click away. Everything is popping up with too many chatty bot AIs that cover up the little screen you have. Too many buttons, everything is overflowing on top of everything else and you can’t find anything. All the menus are black. It’s so difficult to read you can’t sit through something like that. If you’re gonna require black dark mode then you should at least offer a light mode, not everyone wants to read things on black. It’s extremely tiring and people who are colorblind cannot see menus  well. It’s extremely not thought through like an intern sat down who maybe did one year of design school and decided to play around.",2025-07-13T09:21:53-07:00,Shopify,Shopify
Mommarosa Blooms,2,Frustration,"I recently began using Shopify and for the first day I had no issue at all shipping packages and printing labels. The next day I attempted to ship more orders, but received an error message that my account was awaiting verification. I was told it should not take longer than 24 hours however it’s been six days and I am still unable to print the shipping labels needed to ship my orders off. I have contacted customer support numerous times to no avail. At this point, I am forced to use a another third-party shipping company, which is a true inconvenience considering I now have to manually enter addresses. No one can adequately. Tell me what the issue is or when and or if it will be resolved.",2025-07-10T05:07:49-07:00,Shopify,Shopify
Ronny091,3,Really laggy with update.,This app used to be snappy and convenient to use. Now it’s a hassle. A shame how much it lags (even with modern wi-fi),2025-07-08T18:50:31-07:00,Shopify,Shopify
JJ71769,1,theirs,they stole $400 from me and won’t refund it or didn’t even ask if it was me,2025-07-07T18:46:24-07:00,Shopify,Shopify
Dimplesday 1,1,Not easy,"This product is very complicated and when you try to set everything up, you’re not completing it because it’s not allowing to and because you don’t have all the parts first, so the process needs to be changed on how this is set up. I only wanted the mobile on my phone, but for some reason, this is not what is being offered.",2025-07-07T05:20:32-07:00,Shopify,Shopify
EishaPeisha,1,Problem After Probelm,"From taking money (($120))  from me when they offered an additonal 3 months $1//month and my website isn’t even up yet….

There have been constant problems with their software, their tech, their deposits, their apps… but you know what magically works, them TAKING your money, that seems to work well!!

I’ve had to reach out to “support” who was of no help. From getting transferred in the middle of “getting help” to not getting help in the end. To getting an email offer of “extend your trial another 3 months for $1” showing proof of the email & still getting charged another $120. 

From ALL the ads they have online, on social media, even on TV but can seem to help the small companies out. They love hosting SHEIN and major companies but Heaven forbid a small shop tries to get started. They’ll nickel & dime you from the jump but throw pretty sayings like “it only takes 30 minutes to set up your website & start selling” or “pay” influencers to do it for them. It’s all LIES. I’ve been trying to open my site since JANUARY. It’s now JULY & im STILL not there due to glitches they can’t seem to fix. The solution!? Pay $500 for one of their “premium” pages, that’s literally the same as the free ones, they just hold your hand & walk you through the set up in “30 minutes” or so they claim.

Would love to hear from someone who had their entire site up & running in 30 minutes. 

Funny… Shopify hasn’t been on their Facebook page in over 3 YEARS….",2025-07-06T13:44:49-07:00,Shopify,Shopify
Kielstet,2,App is not wonderful,"If you are working in the computer, yes! But the app itself…sucks and has too many pauses and sometimes refreshes. Just work on the computer. And idk why the balance is seperate from the main app",2025-07-01T10:00:03-07:00,Shopify,Shopify
montrayvious,5,8.5/10 BUT IDK A WEBSITE BETTER SO YEAHH,Amazing when they’re not holding your funds other than that great and very easy to use 🔥🔥,2025-06-29T07:04:58-07:00,Shopify,Shopify
MHW2104,3,Update the Integrated Apps -TikTok,"The functionality of the mobile version is not great. Specifically the TikTok integrated app. The features are awesome and I love all the updates, I just wish it was less frustrating to use. It needs to be more mobile friendly rather than acting like a desktop browser version.",2025-06-26T08:36:39-07:00,Shopify,Shopify
thamysorel,1,THIS IS A FRAUDULENT BUSINESS,"Edit: So now I receive an email saying you guys will withdraw $2580 from MY own bank account without my authorization, after you told me you are holding my client’s money and not refunding them for FOUR months. Also you have completely shut down my account, not allowing me to have access to any documents or answer any disputes. You guys really got some balls here.
If Shopify shuts down your account and they require a whole bunch of documentation, and ask you to link your bank account to prove your business, DO NOT DO IT!!!! That is a scam. They will refuse your claim anyway and they will use the information you provided to WITHDRAW MONEY FROM YOUR BANK ACCOUNT. THIS COMPANY IS CRIMINAL AND THE OWNER SHOULD BE IN JAIL. 

I just got scammed by SHOPIFY. I have about $10000 in payout and Shopify completely SHUT DOWN my account suddenly. I don’t even have access to my information, they simply deleted everything. MY MONEY IS GONE. They claimed I could send an appeal and I would have access to the payout IN FOUR MONTHS. They scam users to keep our money!!! They are NOT RELIABLE. I will have to ask my clients to proceed with a charge-back while I ask them to make the payment through a different and actually reliable company. THIS IS A BUSINESS AND I NEED TO BUY MATERIAL, PRODUCTS AND I HAVE TIME TO DELIVER MY SERVICE. I CANNOT WAIT FOUR MONTHS BECAUSE SHOPIFY FEELS LIKE IT.",2025-06-26T06:08:00-07:00,Shopify,Shopify
trans-latinx,2,"app is whatever, browser works better.","app is kind of slow, compared to the browser version, but it’s not terrible (we’ll see, i’m a new user). my main concern is the lack of a dark mode option on both the app & the website, as it’s hurts & is hard on the eyes & is difficult to with at night, which is the main time many of us do/can. even then, i personally use dark mode 24/7 bc the bright screens hurt my eyes no matter how bright it us out. pls give us a dark mode option update for the app & website, it’s becoming impossible to work with this platform.",2025-06-24T20:35:31-07:00,Shopify,Shopify
Supremeverified,5,He sharp,He sharp💯,2025-06-24T11:36:00-07:00,Shopify,Shopify
Nakniko,1,THIEVES !! I was charged by shopify for an expensive product that was not delivered with the order!,"I ordered from a store called Rose cosmetics via Shopify an order consisting of 4 items and was charged by Shopify the total amount of the order ( 1739 LE ) only to receive the delivered order without the FINO hair mask ( 890 LE ) !!! And when i tried contacting shopify’s help and support, instead of actually offering help !! Or refund for my stolen money of the product i didn’t recieve, they kept insisting i communicate with the store despite me repeatedly letting them know that i hav tried contacting the store but didn’t get a reply!!!
Thieves and i’m never ordering anything from them again",2025-06-24T11:30:28-07:00,Shopify,Shopify
Mil&no,1,Wrong 1099,Anyone else received a wrong 1099 from shopify on the last tax day? DM me. There is no accountability and they refuse compensation.,2025-06-23T20:04:12-07:00,Shopify,Shopify
Mosey_d,1,Can’t stay signed in,Constantly logging me out. Also what happened to the widget for the Home Screen?,2025-06-22T17:28:02-07:00,Shopify,Shopify
Adrienne Brooke,1,Worst Experience,"Shopify has the worst customer service ever. No one will help me. The AI tool can’t help because I’m not receiving an authentication code and can’t login. And the support people keep sending me back to the AI thing. Terrible service, terrible system-and at this point I had to leave money in my Shopify account and close my account so they stop charging me.",2025-06-21T23:54:16-07:00,Shopify,Shopify
Niki Minaj DSP,1,Trash,This app is not friendly and too many bugs,2025-06-21T13:51:30-07:00,Shopify,Shopify
Rountrees,5,Still can’t capture Shop Pay from Mobile,Great app and is almost perfect! Just a tiny gripe…,2025-06-21T07:25:04-07:00,Shopify,Shopify
Natalie Hue21,5,New Business - Shopify helps,They are so helpful and navigating is easy! Both on my phone and on my computer- they respond so quick and it's really nice that they have the Chat/Ai Bot it usually helps so much and so fast!,2025-06-19T06:20:13-07:00,Shopify,Shopify
Lauryn Dixon,1,Subscription Plans are terrible,Why can you not use your account once you cancel your plan?? If I pay for a month I should be able to use the remainder of the month because it’s already paid for.,2025-06-18T17:20:41-07:00,Shopify,Shopify
Chisel Fizzle,1,Worst company,"If there were negative stars, I would give them that. They have been double billing me for four months, you cannot talk to a live person, and they do not refund you. Run in the opposite direction.. Literally use any service other than this. I still haven’t gotten it resolved and I keep getting double billed. The customer service is literally the worst. I’m beginning to think it’s actually a scam altogether.",2025-06-16T13:29:47-07:00,Shopify,Shopify
".....,,??!?,",1,Awful update,I cannot stress how badly this update is currently hurting your brand and only going to continue doing so. NOBODY LIKES THIS UPDATE. IT IS AWFUL. CHANGE IT BACK BEFORE YOU START LOSING MORE CUSTMERS BECAUSE YOU LOST ME.,2025-06-16T12:42:05-07:00,Shopify,Shopify
Rex’s dojo,5,Run to the hills,Run to the hills,2025-06-13T12:08:40-07:00,Shopify,Shopify
Nebula waves 333,5,Overall experience,I’m still fairly new to Shopify but I find it’s pretty easy to navigate. YouTube always helps with tutorials. I like that they give you templates to start with so it helps get an idea of what you would be starting with. Price monthly is fair in my opinion. The apps in the website are useful so that’s a plus. Overall I am happy with the experience and look forward to building a successful business with Shopify assistance 🙏🏾,2025-06-11T15:30:07-07:00,Shopify,Shopify
Slaladjessegoth,5,Great App,"This app is and always has been (atleast since I’ve been using it) very user friendly and (probably) simple as they could make it for what’s included inside of it. The only downfall I candid recently is their new update. Looks like some awkward placement of things with the cheap floating tabs and black background. I wish they’d change that back or update it again to something more appropriate for it. And user friendly again. Other than that I love the app. Have found no problems with it! Thanks! 

Jesse D",2025-06-09T02:47:57-07:00,Shopify,Shopify
Kemril,1,I’m so upset with this company. Locked me out my account and I have orders to fill.,They keep locking you out of your account! I hate this company.,2025-06-06T19:00:03-07:00,Shopify,Shopify
Sophiakeys,1,Ai update is awful,This AI update is awful and won’t show me my orders now.,2025-06-05T16:11:44-07:00,Shopify,Shopify
TiffRog,3,Don’t love the new update,"With the latest update, the recently sold inventory feature on the products tab is gone. I liked being able to see what just sold and the quantities left of each item. I hope to see that feature return.",2025-06-04T09:56:16-07:00,Shopify,Shopify
Spidersmans,2,Sidekick is terrible,"The new layout on the app is bad. It takes more clicks to do simple things and the awful sidekick “ai” is constantly in the way. If you just stick with the downgraded new version that is slower and harder to navigate, at least make that stupid sidekick thing so we can hide it.",2025-06-03T07:37:01-07:00,Shopify,Shopify
lmbesch,1,No more support + horrible new app interface,Hate the new update. Also hate the lack of actual customer support. Been using Shopify since 2020 and 2025 has me wanting to switch to literally anything else. The customer support is horrid and the new interface switched between black and white screens which is hard on the eyes. Also payouts have been messed up every single week of 2025 and doesn’t look like it will ever be fixed. I used to highly recommend Shopify but no longer do.,2025-06-02T17:28:56-07:00,Shopify,Shopify
BecauseWeNomad,2,Not easy to use,"This product is difficult to set up, not intuitive and difficult to use. All they are doing is trying to make money off everything you do. Tempting with a 90 trial at $1 per month but not allowing access to that. If companies would just realize milking people who are trying to start a small business is not the way to go.",2025-05-31T09:56:41-07:00,Shopify,Shopify
BH~,2,New update glitchy,"So there are some good enhancements on the new Shopify app which I use about 1M times per day, but it's glitchy as heck and it sticks on the analytics screen a s won't scroll, shows constant connection errors on my widget and instead of defaulting to the analytics dashboard which is where the majority of most folks go it defaults to the reports menu which is just dumb.  While I like the improvements I hate there's issues a it's inefficient.",2025-05-30T10:35:11-07:00,Shopify,Shopify
Lift Crash,1,Server Error & Crash Galore,"Shopify consistently crashes and throws server errors. I regularly run into issues with the platform, not just with stability, but also with basic functionality. The theme I’m using often shows as “not found,” and products that I’ve already added to specific collections will randomly disappear. At this point, I’m honestly just over it. The site shuts down far too often to rely on.",2025-05-30T08:27:10-07:00,Shopify,Shopify
Isthusit2001,1,Way to complacted,Terrible app I don’t even know where to start,2025-05-26T16:30:36-07:00,Shopify,Shopify
Lexie treys,1,Terrible customer service,I havnt been able to access my Shopify account anymore. It tells me I have an account through Apple and when I proceed forward it says no account found with Apple ID. I have tried the virtual assistance which is useless. I emailed an actual person which was also terrible because they take up to 24 hours to even respond. and they were of no help. They sent me back to the virtual assistant page. This is one of the worse things that can happen when you’re trying to run a business. I wish they had real customer service people who can assist you over the phone.,2025-05-26T13:36:01-07:00,Shopify,Shopify
Butch0610,3,Put the tag scan option back,That’s it. Please put the tag scan option back. It makes searching for inventory on the floor so much easier.,2025-05-26T10:47:06-07:00,Shopify,Shopify
Tesla 销售部,4,链接我的账户,我的账户被扣款半年了，还没链接到我账户。,2025-05-25T07:49:18-07:00,Shopify,Shopify
small ock,3,I can’t confirm anything,"I’m trying to just make a account on my phone but the nav bar at the bottom covers 15% of the bottom of the screen so it covers all the buttons you click to confirm and cancel, like how do you do this?",2025-05-24T01:08:42-07:00,Shopify,Shopify
Faithfulsteps,4,Wonderful app,I just wish they had a tour guide through all the different layers of the website. I’ve had my store for a while and I’m still finding out new things about the settings and what not😅,2025-05-23T13:45:32-07:00,Shopify,Shopify
allyk789,1,Update useless!,Can’t send invoices with the new update.. every time I add an email address to send an invoice it force closes the app. BUSINESSES CANT FUNCTION LIKE THIS! 🙃,2025-05-23T08:10:09-07:00,Shopify,Shopify
Lsr;(214,5,Latest may 2025 update,Has to be one of the best updates yet. Amazing. Thank you for making sidekick available on IOS. - don’t want to be anonymous. - Lot57 Diecast Shop,2025-05-23T05:48:16-07:00,Shopify,Shopify
HabibiArt,3,Needs work.,"Increasing my rating cuz they fixed something based on my previous review however i still see under analytics on the reports page that line items are smooshed together, this was fixed on the live view page but remains an issue on the reports page.",2025-05-23T03:11:38-07:00,Shopify,Shopify
travels2,1,New Design Ruins the App,"They just did a redesign of the app that absolutely nobody asked for, at least nobody who actually uses this for business. They like to move a bunch of things around for no reason and everything is now harder to find and harder to read. Some things are all bright and other parts are all dark for no apparent reason, like it’s half the app in dark mode and half normal. It’s a huge mess of a design. Just revert it, guys, it’s a big fail. Talk to actual business people who need this for work.",2025-05-22T20:21:10-07:00,Shopify,Shopify
никнейммм,1,"Worst update ever, design and UX are awful","Roll back the previous app, insanely unusable UX",2025-05-21T17:47:07-07:00,Shopify,Shopify
nunofyabuz,1,Scam,Do not order anything via Shopify they refuse to hold sellers accountable… I ordered $33.15 and still have not received my order which was on March 26th it’s May now,2025-05-21T06:28:57-07:00,Shopify,Shopify
PeePeeGrumpy,1,Support? Nope!,Do not use this platform unless you are an expert because the help and community options for Shopify are completely useless. Round and round with a bad AI BOT and MIA “support advisors”. Run!,2025-05-20T15:40:54-07:00,Shopify,Shopify
Whodey00000,1,Horrible analytics update,Another update that no one asked for that makes everything so much more complicated than it needs to be. This company literally does zero market research. Horrible user experience and keeps getting worse,2025-05-20T12:50:48-07:00,Shopify,Shopify
damirante,2,Recent update doesn’t work on iPhone,"I just did the update and the views are not working on my iPhone. Everything worked beautifully before - now it’s clunky. I could not expand live view, sessions etc. yes my iPhone is up to date. Please fix this as I love Shopify",2025-05-17T10:32:46-07:00,Shopify,Shopify
CurtisF25,1,New Update is Unusable!,The removal of the customer behavior UI has made the app useless. Bring is back or you’ll see a mass exodus.,2025-05-17T08:36:31-07:00,Shopify,Shopify
MintChipkids,1,They shut my new business site down with NO warning!,"Don’t waste your time building your business websites with Shopify, they are unethical and incompetent.  Out of no where and with NO previous warning or inquiry they took my shop down for DAYS. THESE PEOPLE ARE TRASH.  Much better options out there.",2025-05-16T18:02:11-07:00,Shopify,Shopify
kenjinsta123,1,Non stop scams Shopify doesn’t protect buyer,"Bought a supplement. For $40 in January never came  no way to report or contact shop it vanished a week after it got my money.  Nowhere on app to gain refund.

6 months later bought 2 outdoor chairs for $73   Checked shop to make sure it seemed  legit. Order never came. It’s been 4 weeks order never came  shop disappeared again and again  nowhere to report or refund Bec the shop doesn’t exist there only advise. Contact your bank.  Don’t buy anything. Off this app.  How is it it my only 2 purchases both happened to be scams what are the odds.  Don’t do it",2025-05-15T06:31:43-07:00,Shopify,Shopify
rbcodes,2,Needs dark mode support,This app desperately needs dark mode support. Its brutal when you load this app at night.,2025-05-13T13:49:36-07:00,Shopify,Shopify
EKB 91369,1,I didn’t sign up for this,I keep getting billed . I  cancelled Shopify. Why am I still being billed,2025-05-13T09:46:47-07:00,Shopify,Shopify
Dakreations,1,0 communication with customer,I have been bringing in roughly $2000 / month on this platform. While I am grateful for the platform I am aware the CEO supports things that are harmful to children. I have tried to reach out several times to the company to close my account and have heard back from no one. It was very difficult to get my money out of their system. I am now waiting to hear back from a human at their company. Please reach back out to me. Thank you god bless.,2025-05-13T09:00:12-07:00,Shopify,Shopify
alukaslukkasss,2,Bad,Bad,2025-05-11T01:23:15-07:00,Shopify,Shopify
AMSHS2026,1,Scammers Unethical Company,"They collect your card data and keep charging you forever. When contact for refund for services that didn’t work, and not needed, they say when you signed up for a trial there was a small footprint authorizing us to steal from you and not giving it back to you! I will do a chargeback, they will get a fee for that and lose more, you do the same too!",2025-05-10T01:03:50-07:00,Shopify,Shopify
SaqibNoori999,4,Phenomenal performance,Really great starting method! But no customers,2025-05-09T03:05:43-07:00,Shopify,Shopify
NikNDom,1,£361 trick,"Shopify try charge me £361 for nothing, my shop still in test mode, 
I will go another platform.. 
good luck with this approach",2025-05-04T01:15:30-07:00,Shopify,Shopify
Breese147,5,Easy to use but less computer only settings,Please add a way to add low inventory alerts without having to go through workflow for those of us that don’t have access to computer.,2025-05-03T18:42:28-07:00,Shopify,Shopify
Lil Skitz9,5,Money,"It’s a tuff app, easy to use, love it, although apps cost a lot. But Shopify is still a 10/10",2025-04-29T22:03:39-07:00,Shopify,Shopify
Bagsaver,1,Shopify’s Decline: A Firsthand Account,"After numerous attempts to resolve an issue with Shopify, I am now in the process of transitioning the BagSaver.net website to another hosting service. Unfortunately, my experience with Shopify has been nothing short of horrible.

I was incorrectly billed a one-time upfront fee of $953, even though I repeatedly informed them that I wanted to be on a monthly payment plan. Despite my efforts, they continued to send me the same bill for almost two months, and they are still billing me without ever resolving the issue.

It was nearly impossible to speak to anyone directly — communication was limited to automated AI responses and chat agents. One representative would say they could fix the problem, only for another to later claim they could not.

It’s truly a shame what Shopify has become. Once a great platform for entrepreneurs building their businesses, it has now turned into a disorganized and frustrating mess.",2025-04-26T06:41:58-07:00,Shopify,Shopify
NorthfieldNow,1,Uploading product photos is a DISASTER!!!!!!,"About a month ago, Shopify updated the way photos are uploaded into a listing.  Since that time, we’ve had to jump through two hoops to add photos.  First, we have to add the photos to our Shopify account.  Then, we have to upload them into the listing.  The photos ALWAYS upload in reverse order to what is selected.  It’s necessary to try to move them back in the intended order, and half the time, the app won’t allow you to do that.  And even when you get them in the correct intended order, when the listing saves, it reverts the photos.  This update or “enhancement” is insane, and not in a good way.  I am going to be cancelling my Shopify account due to this issue, as well as the price increase we suffered last year.  It’s just not worth it when I can do all of my business, and create a website through Etsy, for a small fraction of the cost and hassle.",2025-04-26T05:13:47-07:00,Shopify,Shopify
Winner Moving upwards,5,E-commerce store,I’m very new at this and I’m willing to give it a try,2025-04-23T17:05:38-07:00,Shopify,Shopify
Redaflorida,1,The worst customer service you will ever experience in your life.,The worst customer service I've ever experienced. They can't solve even the simplest problems. I can't imagine a multi-billion dollar company can't provide great customer service.,2025-04-23T09:43:30-07:00,Shopify,Shopify
Zoltani,2,"A change for the worse, yet again.","After 12+ years of “Sales” being the top tier metric, Shopify, in a demonstration of its ability to always make things less useful, decided to change it to “Sessions.” Did you talk to any shop owners? Sales. It’s always sales. Sessions is A metric, but hardly deserving of the top spot. And now you made it even worse by reducing the font size to make it harder to read. But this tracks given the changes you made to the admin page, stripping it of much of its useful data in the interest of minimalist design. Shakes head and walks away.",2025-04-18T06:41:40-07:00,Shopify,Shopify
Clouduka,5,Clouduka,I love Shopify!,2025-04-17T21:09:45-07:00,Shopify,Shopify
urrhfhryhdhwwjsu,5,Good,Expensive but good,2025-04-16T06:47:17-07:00,Shopify,Shopify
Don’tplaywithmymoney,1,They put your money on hold,I definitely don’t recommend Shopify because they will put your money on hold after you get your first sale with them and asked for all kind of information from you and after that they will give you the run around. Right now still waiting on my payout .. This coming from a completely new customer it been over a week and they still haven’t payout my hundreds of dollars they owe me! You guys run from this company please!,2025-04-14T04:38:55-07:00,Shopify,Shopify
